pool,token_id,token_address,token_type,pool_type
'0x3a1659Ddcf2339Be3aeA159cA010979FB49155FF','0','0x049d68029688eAbF473097a2fC38ef61633A3C7A','pool_token','Plain Pool'
'0x3a1659Ddcf2339Be3aeA159cA010979FB49155FF','1','0x321162Cd933E2Be498Cd2267a90534A804051b11','pool_token','Plain Pool'
'0x3a1659Ddcf2339Be3aeA159cA010979FB49155FF','2','0x74b23882a30290451A17c44f4F05243b6b58C76d','pool_token','Plain Pool'
'0x92D5ebF3593a92888C25C0AbEF126583d4b5312E','0','0x049d68029688eAbF473097a2fC38ef61633A3C7A','pool_token','Meta Pool'
'0x92D5ebF3593a92888C25C0AbEF126583d4b5312E','1','0x27E611FD27b276ACbd5Ffd632E5eAEBEC9761E40','pool_token','Meta Pool'
'0x92D5ebF3593a92888C25C0AbEF126583d4b5312E','0','0x049d68029688eAbF473097a2fC38ef61633A3C7A','underlying_token_sold','Meta Pool'
'0x92D5ebF3593a92888C25C0AbEF126583d4b5312E','1','0x27E611FD27b276ACbd5Ffd632E5eAEBEC9761E40','underlying_token_sold','Plain Pool'
'0x92D5ebF3593a92888C25C0AbEF126583d4b5312E','2','0x27E611FD27b276ACbd5Ffd632E5eAEBEC9761E40','underlying_token_sold','Plain Pool'
'0x92D5ebF3593a92888C25C0AbEF126583d4b5312E','0','0x049d68029688eAbF473097a2fC38ef61633A3C7A','underlying_token_bought','Meta Pool'
'0x92D5ebF3593a92888C25C0AbEF126583d4b5312E','1','0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E','underlying_token_bought','Meta Pool'
'0x92D5ebF3593a92888C25C0AbEF126583d4b5312E','2','0x04068DA6C83AFCFA0e13ba15A6696662335D5B75','underlying_token_bought','Meta Pool'
