wallet_address,wallet_label,varfix,code
LOWER'0x9e1585d9CA64243CE43D42f7dD7333190F66Ca09','RWF Core Unit Multisig + Operational 1','Fixed','RWF-001'
LOWER'0xD1505ee500791490DE8642353BA6A5b92e3550F7','RWF Core Unit Multisig + Operational 2','Fixed','RWF-001'
LOWER'0xe2c16c308b843eD02B09156388Cb240cEd58C01c','PE Core Unit Multisig + PE Continuous Ops Multisig 1','Fixed','PE-001'
LOWER'0x83e36aaa1c7b99e2d3d07789f7b70fce46f0d45e','PE Core Unit Multisig + PE Continuous Ops Multisig 2','Fixed','PE-001'
LOWER'0x01D26f8c5cC009868A4BF66E268c17B057fF7A73','GovAlpha Multisig','Fixed','GOV-001'
LOWER'0xDCAF2C84e1154c8DdD3203880e5db965bfF09B60','Content Prod Multisig 1','Fixed','OLD-001'
LOWER'0x6a0ce7dbb43fe537e3fd0be12dc1882393895237','Content Prod Multisig 2','Fixed','OLD-001'
LOWER'0x1eE3ECa7aEF17D1e74eD7C447CcBA61aC76aDbA9','GovCom Multisig + Continuous Operation 1','Fixed','COM-001'
LOWER'0x99E1696A680c0D9f426Be20400E468089E7FDB0f','GovCom Multisig + Continuous Operation 2','Fixed','COM-001'
LOWER'0x7800C137A645c07132886539217ce192b9F0528e','Growth Emergency Multisig','Fixed','GRO-001'
LOWER'0xb5eB779cE300024EDB3dF9b6C007E312584f6F4f','SES Multisigs Permanent Team,Incubation,Grants 1','Fixed','SES-001'
LOWER'0x7c09Ff9b59BAAebfd721cbDA3676826aA6d7BaE8','SES Multisigs Permanent Team,Incubation,Grants 2','Fixed','SES-001'
LOWER'0xf95eB8eC63D6059bA62b0A8A7F843c7D92f41de2','SES Multisigs Permanent Team,Incubation,Grants 3','Fixed','SES-001'
LOWER'0xd98ef20520048a35EdA9A202137847A62120d2d9','Risk Multisig','Fixed','RISK-001'
LOWER'0x8Cd0ad5C55498Aacb72b6689E1da5A284C69c0C7','DUX Team Wallet','Fixed','DUX-001'
LOWER'0x6D348f18c88D45243705D4fdEeB6538c6a9191F1','StarkNet Team Wallet','Fixed','SNE-001'
LOWER'0x955993Df48b0458A01cfB5fd7DF5F5DCa6443550','Strategic Happiness Wallet 1','Fixed','SH-001'
LOWER'0xc657ac882fb2d6ccf521801da39e910f8519508d','Strategic Happiness Wallet 2','Fixed','SH-001'
LOWER'0xD740882B8616B50d0B317fDFf17Ec3f4f853F44f','CES Team Wallet','Fixed','CES-001'
LOWER'0x56349A38e09f36039f6AF77309690d217Beaf0bF','DECO Ops + DECO Protocol Wallets 1','Fixed','DECO-001'
LOWER'0xA78F1F5698f8d345a14d7323745C6c56fB8227F0','DECO Ops + DECO Protocol Wallets 2','Fixed','DECO-001'
LOWER'0x465AA62a82E220B331f5ECcA697c20E89554B298','SAS Team Wallet','Fixed','SAS-001'
LOWER'0x124c759D1084E67B19a206ab85c4527Fab26c342','IS Ops Wallet','Fixed','IS-001'
LOWER'0x7327Aed0Ddf75391098e8753512D8aEc8D740a1F','Data Insights Wallet','Fixed','DIN-001'
LOWER'0x2dC0420A736D1F40893B9481D8968E4D7424bC0B','TechOps','Fixed','TECH-001'
LOWER'0x2B6180b413511ce6e3DA967Ec503b2Cc19B78Db6','Oracle Gas Cost Multisig + Emergency Fund 1','Variable','GAS'
LOWER'0x1A5B692029b157df517b7d21a32c8490b8692b0f','Oracle Gas Cost Multisig + Emergency Fund 2','Variable','GAS'
LOWER'0x53CCAA8E3beF14254041500aCC3f1D4edb5B6D24','Oracle Multisig,Emergency Multisig 1','Fixed','ORA-001'
LOWER'0x2d09B7b95f3F312ba6dDfB77bA6971786c5b50Cf','Oracle Multisig,Emergency Multisig 2','Fixed','ORA-001'
LOWER'0xf737C76D2B358619f7ef696cf3F94548fEcec379','Strategic Finance Multisig','Fixed','SF-001'
LOWER'0x3d274fbac29c92d2f624483495c0113b44dbe7d2','Events Multisig','Fixed','EVENTS-001'
LOWER'0x34d8d61050ef9d2b48ab00e6dc8a8ca6581c5d63','Foundation Operational Wallet','Fixed','DAIF-001'
LOWER'0xbe8e3e3618f7474f8cb1d074a26affef007e98fb','DS Pause Proxy','Variable','DSPP'
LOWER'0x73f09254a81e1f835ee442d1b3262c1f1d7a13ff','Interim Multisig','Fixed','INTERIM'
LOWER'0x87AcDD9208f73bFc9207e1f6F0fDE906bcA95cc6','SES Multisig Auditor','Fixed','SES-001'
LOWER'0x5A994D8428CCEbCC153863CCdA9D2Be6352f89ad','DUX Auditor Wallet','Fixed','DUX-001'
LOWER'0x25307aB59Cd5d8b4E2C01218262Ddf6a89Ff86da','CES Auditor Wallet','Fixed','CES-001'
LOWER'0xf482d1031e5b172d42b2daa1b6e5cbf6519596f7','DECO Auditor Wallet','Fixed','DECO-001'
LOWER'0xb1f950a51516a697e103aaa69e152d839182f6fe','SAS Auditor Wallet','Fixed','SAS-001'
LOWER'0xd1f2eef8576736c1eba36920b957cd2af07280f4','IS Auditor Wallet','Fixed','IS-001'
LOWER'0x96d7b01Cc25B141520C717fa369844d34FF116ec','RWF Auditor Wallet','Fixed','RWF-001'
LOWER'0x1a3da79ee7db30466ca752de6a75def5e635b2f6','TechOps Auditor Wallet','Fixed','TECH-001'
LOWER'0x5F5c328732c9E52DfCb81067b8bA56459b33921f','Foundation Reserves','Fixed','DAIF-001'
LOWER'0x478c7ce3e1df09130f8d65a23ad80e05b352af62','Gelato Keepers','Variable','GELATO'
LOWER'0xb386Bc4e8bAE87c3F67ae94Da36F385C100a370a','New Risk Multisig','Fixed','RISK-001'
